postcode,residents,households,single_person_households,multi_person_households,median_household_income,average_household_income,% low_income_household,% high_income_household,% owner_occupied_home,% rental_properties,average_house_value,house_value_class,supermarket_distance,caf�_distance,hotel_distance,restaurant_distance,trainstation_distance,amusement_park_distance,swimming_pool_distance,cinema_distance,museum_distance
1087,21045,8330,2805,5530,60-80 boven midden,42400,29%,36%,50%,50%,628000,€500000 tot €750000,"0,50","5,40","1,20","0,30","7,80","5,70","5,70","7,80","6,80"
1091,16850,10185,6160,4030,40-60 midden,34500,51%,19%,30%,70%,539000,€500000 tot €750000,"0,30","0,20","0,50","0,10","3,30","1,70","0,60","1,20","1,40"
1092,8560,4875,2665,2215,20-60 onder midden tot midden,32700,51%,18%,30%,70%,558000,€500000 tot €750000,"0,20","0,20","0,50","0,10","3,70","1,80","1,00","1,40","1,00"
1093,10135,5795,3410,2385,20-40 onder midden,31900,54%,16%,30%,70%,522000,€500000 tot €750000,"0,30","0,20","0,30","0,10","3,30","1,50","1,40","1,50","0,60"
1094,12145,7020,3900,3120,20-40 onder midden,30000,52%,15%,30%,70%,475000,€400000 tot €500000,"0,30","0,20","0,60","0,20","3,50","2,10","2,00","2,10","1,20"
1095,15645,8750,5015,3735,20-40 onder midden,29000,53%,15%,20%,80%,443000,€400000 tot €500000,"0,40","1,10","1,30","0,50","4,20","3,30","3,00","3,30","2,50"
1096,5935,3625,2400,1225,20-40 onder midden,41600,37%,28%,20%,80%,513000,€500000 tot €750000,"1,70","1,30","0,50","0,30","2,80","3,90","2,20","3,40","3,00"
1097,16360,8935,5450,3485,20-40 onder midden,30800,57%,16%,20%,80%,483000,€400000 tot €500000,"0,80","0,80","0,90","0,30","4,00","2,90","1,60","2,80","1,30"
1098,15515,8490,4440,4045,40-60 midden,39000,38%,32%,40%,60%,605000,€500000 tot €750000,"0,50","0,70","1,30","0,30","4,60","2,90","1,60","3,00","1,20"
1101,1055,425,290,135,40-60 midden,,0%,0%,0%,100%,343000,€300000 tot €350000,"1,30","0,90","0,40","0,50","2,80","1,50","2,00","0,90","3,90"
1102,25765,14140,8970,5165,20-40 onder midden,23500,66%,7%,20%,80%,265000,€250000 tot €300000,"0,70","1,00","0,90","0,50","2,00","1,90","1,30","2,20","4,60"
1103,14300,7700,4305,3395,20-40 onder midden,27200,57%,12%,40%,60%,358000,€350000 tot €400000,"0,80","1,60","1,90","0,40","3,30","2,20","1,90","3,40","4,80"
1104,15840,8145,4445,3700,20-40 onder midden,25100,61%,9%,30%,70%,327000,€300000 tot €350000,"0,70","0,90","1,40","0,70","4,30","3,30","2,40","3,70","5,70"
1105,2810,2170,1765,410,00-20 laag,15300,90%,2%,0%,100%,191000,€150000 tot €200000,"0,40","0,90","1,40","0,70","5,00","3,40","3,10","3,10","6,00"
1106,17905,8770,4235,4535,20-40 onder midden,27000,55%,10%,30%,70%,334000,€300000 tot €350000,"0,90","1,30","2,50","0,80","5,20","2,10","3,20","4,10","7,00"
1107,11570,5975,3025,2950,20-40 onder midden,27100,55%,9%,30%,70%,335000,€300000 tot €350000,"0,90","1,20","3,20","0,80","6,00","2,30","4,00","4,90","7,80"
1108,3135,1875,1075,800,40-60 midden,30700,51%,9%,40%,60%,327000,€300000 tot €350000,"1,60","1,40","1,00","1,60","4,60","2,60","2,60","3,90","5,70"
1109,1675,685,190,500,40-60 midden,35000,33%,26%,60%,40%,474000,€400000 tot €500000,"2,90","2,90","2,50","2,10","3,60","4,80","2,60","7,50","2,90"
1381,5330,2565,1085,1480,40-60 midden,39600,38%,28%,60%,40%,541000,€500000 tot €750000,"0,90","0,80","1,10","0,50","1,40","7,80","2,90","9,40","0,80"
1382,10315,4950,2200,2755,40-60 midden,33900,43%,20%,50%,50%,405000,€400000 tot €500000,"0,70","0,90","0,80","0,40","1,10","8,00","3,20","9,80","1,10"
1383,3560,1600,495,1105,40-80 midden tot boven midden,36200,30%,26%,70%,30%,447000,€400000 tot €500000,"0,60","0,70","1,80","0,80","2,20","7,50","2,70","9,30","1,50"
1384,4380,970,115,855,80-100 hoog,56500,2%,81%,100%,0%,769000,€750000 of meer,"1,90","1,40","1,80","1,50","1,50","9,10","4,30","10,90","1,80"
